PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
164.177,92.7343,0.680532,0.317531,-1.10392,218.37,3.52826,2.42434,1
175.702,82.4632,-2.87229,-1.92777,-0.591798,241.459,3.34165,2.74985,1
222.124,80.4917,-0.0203555,-3.49305,0.106215,276.144,-3.07056,-2.96434,1
198.278,35.749,-0.28049,3.50726,3.07398,156.715,-3.15385,-0.079873,1
156.783,31.2429,0.776325,-0.0435077,-0.153832,176.272,-3.16537,-3.3192,1
312.568,43.6656,-2.30915,2.2777,1.90228,303.459,-3.29641,-1.39414,1
173.327,34.4695,-1.34587,2.16045,-5.29756,173.086,3.1622,-2.13535,1
135.506,31.3688,0.711964,-1.78739,4.07897,144.859,-2.96358,1.11538,1
134.833,27.8253,0.583201,1.64563,1.29795,130.758,-3.29459,-1.99664,1
267.215,45.1002,0.985819,2.34957,-4.3932,255.912,2.99379,-1.39941,1
131.325,128.16,-2.62939,-3.09492,-5.54671,244.835,2.83089,-2.71583,1
214.699,31.8278,1.00568,-1.31033,-0.782182,229.263,3.13487,2.35269,1
135.038,35.2076,0.0144101,3.06876,1.40401,143.666,3.107,4.51101,1
187.908,38.5599,0.626814,1.35633,3.76744,145.423,-2.96199,0.805449,1
165.476,79.5284,-2.58615,-1.90051,-0.848218,213.74,-2.85025,-3.69846,1
192.096,32.3191,-1.86337,3.2901,-0.847511,175.626,3.24596,2.39845,1
141.577,28.6713,-3.52382,-0.20964,0.0126002,166.587,-3.17585,-3.16325,1
322.043,55.6459,-1.12978,1.22551,2.0069,277.548,-3.32964,-1.32274,1
146.835,55.0543,-0.866429,2.0163,0.676613,200.471,2.94602,3.62263,1
147.077,123.429,0.353805,-1.01696,4.79214,194.413,-2.4842,2.30793,1
190.139,35.5985,-1.16697,-2.41856,0.84771,247.961,-3.29624,-2.44853,1
201.115,43.4023,0.37077,1.31639,-3.37953,160.729,2.99085,-0.388683,1
176.233,41.1982,-0.0881149,3.15282,2.38905,162.318,-3.33509,-0.946033,1
224.658,25.3313,2.59797,2.35,-2.356,204.806,3.20936,0.853361,1
312.881,64.8753,-1.8851,-0.85006,2.99719,273.265,-3.21933,-0.222141,1
132.225,44.1892,1.92832,2.88358,0.642136,210.018,2.96805,3.61019,1
140.987,92.2032,-2.28999,0.288756,-1.22967,212.954,3.71378,2.48411,1
