PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
139.27,67.649,-0.0683274,2.51936,0.898543,207.749,2.93157,3.83011,1
204.23,103.543,-0.298301,-1.7885,-2.85828,139.855,3.38275,0.524467,1
406.263,61.5591,-1.03962,-1.3648,-1.09413,435.003,3.27654,2.18241,1
363.835,48.7267,1.79826,1.87717,-3.71564,346.265,3.07675,-0.638884,1
323.311,26.8208,0.972939,-1.77406,0.912877,343.314,-3.19712,-2.28424,1
431.322,27.9972,0.356453,3.37454,-4.18988,403.11,3.13552,-1.05436,1
220.2,79.2717,0.12375,0.806383,0.211067,297.144,-3.13172,-2.92065,1
284.784,122.608,-1.43424,1.49835,-0.670592,366.518,3.34929,2.6787,1
162.239,31.7717,0.0473875,-1.14196,-1.46331,195.011,-3.00209,-4.4654,1
183.058,125.272,2.07437,2.45656,-0.538671,291.653,3.30505,2.76638,1
187.12,91.2974,0.612023,0.48434,1.0015,242.792,2.91486,3.91636,1
246.336,43.2894,-0.0270327,-0.478917,-0.426151,292.261,-3.12963,-3.55578,1
150.836,73.6247,0.18959,0.96728,-0.409299,225.822,-3.01269,-3.42199,1
222.95,50.2494,-0.601914,3.15313,-5.58566,251.622,2.97781,-2.60785,1
132.366,131.884,-1.67013,-2.02333,-0.883243,233.54,-2.737,-3.62024,1
154.844,38.4033,-0.502813,1.35668,-0.771054,175.828,-3.02815,-3.7992,1
286.207,89.7994,-2.03941,2.4847,-2.10112,243.764,3.42186,1.32074,1
216.958,40.8582,-1.77219,-1.21596,-1.61268,225.148,3.43291,1.82022,1
226.006,38.7959,0.835356,0.842024,-3.11514,189.994,3.22084,0.105696,1
172.532,46.7286,0.704118,2.63561,0.800769,184.77,-3.31992,-2.51915,1
539.267,196.884,1.64582,0.342608,-3.55065,374.78,2.97562,-0.575028,1
306.579,34.4557,1.58521,2.35199,-0.611763,322.759,-3.11687,-3.72864,1
232.668,94.8458,0.493575,-1.20997,0.188415,351.411,3.08596,3.27437,1
225.622,31.6374,-0.115096,-0.96486,-1.71218,205.292,-3.18687,-4.89906,1
512.432,40.0613,0.247558,3.77982,0.906426,536.473,3.09156,3.99799,1
221.903,37.7013,-1.46535,-1.56135,-1.07729,244.771,-3.01757,-4.09486,1
536.296,227.807,1.87002,-1.45785,-3.17892,261.498,3.14626,-0.0326632,1
323.261,29.3728,-1.21962,3.88398,2.83715,319.101,-3.10813,-0.270982,1
331.139,80.8167,0.219033,2.53546,1.55101,322.432,2.90356,4.45457,1
166.845,101.833,1.29211,-1.55205,-0.731946,271.428,-2.78106,-3.513,1
140.031,27.7684,1.36329,-2.47677,-1.56033,144.855,-3.00501,-4.56534,1
380.27,102.359,-0.857318,2.40689,1.24551,432.786,2.93081,4.17631,1
