PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
330.063,41.5635,1.70595,-2.25469,1.28564,358.156,3.02944,4.31507,1
160.9,31.0017,-0.788377,2.56622,-1.04992,196.711,-3.01735,-4.06728,1
363.67,66.7972,2.21001,-0.153769,-3.0022,288.882,3.21626,0.214056,1
133.555,37.1278,-2.96219,-1.46687,1.28856,151.921,2.97637,4.26493,1
223.761,153.331,-0.574017,1.94068,0.855978,309.606,2.74542,3.6014,1
229.176,90.6057,-0.926838,-0.0677762,-1.14434,228.622,3.465,2.32066,1
265.617,30.3876,-2.27493,-2.70264,0.856261,275.358,3.09272,3.94898,1
220.395,73.6124,1.51643,-0.175545,-1.97066,191.656,-2.80204,-4.7727,1
133.074,34.0742,1.70394,2.41219,-1.06195,170.123,3.29213,2.23017,1
195.793,74.7299,0.198201,-0.64147,-4.63538,208.031,2.68371,-1.95167,1
244.063,70.1602,1.52973,-0.202865,-2.6626,185.012,-2.90676,-5.56936,1
148.518,51.6027,2.98231,2.46867,0.518936,181.069,2.96957,3.4885,1
383.925,54.2828,-1.59142,0.380554,-3.25618,343.47,3.06168,-0.194499,1
433.497,415.275,-1.23661,-0.222237,-4.3194,474.691,2.21711,-2.10229,1
524.997,114.902,-1.00996,-2.65051,3.21943,408.207,-3.18704,0.0323806,1
130.721,36.5661,-1.81354,-1.3085,-0.948251,157.889,-2.94082,-3.88907,1
153.105,86.1336,1.68882,2.41716,-0.749333,218.269,-2.86765,-3.61698,1
191.246,45.9726,-0.379411,-0.873299,2.28684,232.292,3.09675,5.38359,1
184.166,37.1038,1.04992,-1.21247,1.33059,194.029,-3.29187,-1.96129,1
498.334,26.7101,-1.63987,2.37157,-1.01488,510.198,3.12471,2.10984,1
192.076,40.7735,-1.5363,-1.75965,-0.859856,207.263,-2.95944,-3.81929,1
180.864,41.5811,0.904607,0.0943841,0.334735,214.997,-3.17869,-2.84395,1
181.913,27.9515,-0.66766,1.08037,-3.38279,144.125,3.01342,-0.369368,1
228.708,108.614,-0.102086,1.03505,-4.60001,216.409,2.70166,-1.89835,1
203.884,47.014,0.158087,-1.90067,-2.65944,163.7,-3.03619,-5.69563,1
243.053,35.4931,0.0792424,-2.69039,-2.43055,230.642,3.26433,0.833784,1
190.058,26.6949,-0.942761,-2.54488,-0.557384,194.169,3.19328,2.6359,1
242.471,67.5568,1.28968,2.06563,0.0850612,330.131,3.10907,3.19413,1
148.058,36.8137,-2.05825,-4.24167,1.32725,164.284,-3.35788,-2.03063,1
239.598,35.7342,1.36483,0.231991,1.93895,213.686,-3.22958,-1.29064,1
141.812,134.557,1.58129,-0.962585,4.34353,147.674,-2.19164,2.15189,1
229.917,95.6719,1.3971,2.10728,-0.245997,339.624,-3.03573,-3.28173,1
463.012,44.0069,-0.269302,1.66326,3.90164,420.22,-3.10919,0.792446,1
165.54,94.5553,0.989537,2.06777,-1.62121,183.094,-2.55677,-4.17798,1
258.535,27.0819,-1.95271,-0.80855,-1.97473,224.983,-3.01791,-4.99264,1
348.373,156.381,-0.62464,-2.21994,1.4789,391.346,-3.56663,-2.08773,1
240.206,41.6803,0.965891,-4.39408,2.59629,184.341,-3.27543,-0.679146,1
202.529,40.002,0.522398,2.32998,-2.60557,160.322,3.28414,0.678568,1
147.582,129.059,-0.12853,-0.856325,2.21432,135.091,-4.16278,-1.94846,1
251.749,81.1897,1.63938,-2.52362,-0.946869,314.353,3.39808,2.45121,1
137.64,29.018,-0.42623,3.00138,-1.12932,149.385,3.1078,1.97847,1
273.066,31.8603,0.329468,-1.88616,2.11995,258.465,-3.21836,-1.09842,1
230.589,98.2473,-2.66592,-2.25301,-0.890093,297.78,-2.88823,-3.77832,1
444.095,82.8027,-1.14985,0.78335,4.48248,428.897,-2.9446,1.53789,1
206.913,32.0058,-0.267607,0.364467,-0.71839,240.425,3.24912,2.53073,1
205.843,31.8724,1.99698,-1.30058,-2.97881,180.036,3.20155,0.222741,1
192.393,27.5947,2.06911,-0.106441,2.3149,159.891,3.01711,5.332,1
142.121,70.2114,0.22895,-1.81818,-5.06491,159.128,2.67653,-2.38839,1
204.397,72.5171,0.473069,3.02215,0.379183,270.683,-3.14695,-2.76777,1
