PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
234.786,37.8095,2.98491,0.288317,-1.10723,255.043,3.36894,2.26171,1
221.643,34.7036,-0.406575,1.62312,-2.12687,169.258,-2.89552,-5.02239,1
271.128,28.5881,2.05208,-3.4795,1.19038,262.032,-3.20557,-2.01518,1
447.805,266.572,0.379721,-0.381816,1.2088,588.321,-3.59111,-2.38232,1
452.379,35.6968,-1.41452,2.05326,-2.13463,421.19,3.22126,1.08663,1
181.645,149.434,0.693375,1.81529,-4.40613,181.706,2.35439,-2.05174,1
232.608,26.6365,0.33198,0.609195,1.55769,241.625,3.014,4.57169,1
189.869,41.0772,1.07018,-0.0332319,-1.08895,222.522,-2.91218,-4.00113,1
143.592,97.7084,1.64301,0.5573,0.0266798,240.57,3.12066,3.14734,1
407.456,33.3442,-1.61554,2.6448,3.88521,402.151,-3.07153,0.813676,1
160.576,53.5448,0.445365,-0.446295,-0.0680262,190.566,-3.04095,-3.10897,1
233.14,53.0556,-0.935026,1.45144,3.33447,188.711,-3.11796,0.216513,1
198.882,26.0011,0.606024,-0.384607,3.80452,198.107,-3.05535,0.749172,1
309.039,54.5057,0.791689,-0.869202,-0.376178,351.961,3.16253,2.78635,1
183.699,29.3372,-0.37676,0.990265,-2.64519,194.167,3.18262,0.537431,1
161.684,58.8914,-1.57929,-2.15438,0.632923,201.566,-3.32268,-2.68976,1
225.51,86.548,-1.47689,-1.39017,1.08089,259.918,-3.47516,-2.39426,1
289.417,32.3211,-1.09471,3.60682,-1.51036,252.07,3.25189,1.74153,1
214.515,49.5572,0.347498,1.69655,4.31953,201.675,-2.89631,1.42322,1
501.812,93.8126,-1.94063,-0.892493,0.543404,578.754,-3.23231,-2.68891,1
161.855,47.5074,1.64646,3.65925,-0.113387,208.237,3.19222,3.07883,1
315.295,167.029,1.35496,-1.58634,-5.57733,445.73,2.90457,-2.67276,1
367.098,44.2674,0.00398263,1.85151,0.0240388,420.928,-3.16203,-3.13799,1
205.198,29.1681,0.107475,-1.73127,-0.901122,201.901,-3.03957,-3.94069,1
131.835,63.2002,-0.820004,0.471337,0.237847,174.265,3.11863,3.35647,1
171.588,38.5396,1.47241,0.876292,0.71567,208.129,-3.35844,-2.64277,1
265.953,142.5,-1.04064,0.0853548,-1.40456,319.993,3.57418,2.16963,1
273.809,58.9023,2.00418,0.595611,-3.06204,225.029,3.16915,0.107112,1
190.538,40.0658,-1.88254,-1.94722,-0.895715,235.818,-2.96167,-3.85738,1
151.835,45.8946,-0.277554,1.24877,-0.0236801,209.162,3.2189,3.19522,1
374.114,126.279,-0.183786,0.739604,-3.814,273.36,2.87349,-0.940508,1
292.161,125.692,0.669229,0.512287,-0.776894,401.517,3.35261,2.57571,1
194.4,41.7943,1.75384,2.03414,3.19925,147.433,-3.12516,0.0740852,1
132.292,33.9481,1.47226,2.20778,0.66739,159.695,3.06471,3.7321,1
788.458,26.4452,-0.358544,2.11305,0.634559,811.072,3.11028,3.74484,1
423.711,55.9032,1.81123,0.586492,-0.162073,463.904,3.15848,2.9964,1
150.564,60.2793,-0.540535,1.45701,1.62915,153.441,-3.47225,-1.8431,1
241.479,65.6451,-1.34426,-0.600963,-0.353401,308.379,-3.04237,-3.39577,1
166.102,86.6723,2.93315,0.789823,-1.19077,205.265,-2.67525,-3.86602,1
236.809,25.6661,0.52836,-3.83948,5.60072,264.694,-3.13184,2.46888,1
179.982,29.1093,1.35178,1.77929,2.24621,157.019,-3.32708,-1.08087,1
